Candidate,Maximum Loss,One-Day VaR 95%,One-Day CVaR 95%,Probability of One-Day Loss,Probability Profitable at Expiration,Expected Expiration P&L
ATM call — 1 day,449.1476492864422,449.1476492864422,449.1476492864422,0.65009,0.34991,9.089125730674482
Target-strike call — 1 day,314.93510581037185,314.93510581037185,314.93510581037185,0.7027,0.2973,7.228018805373599
ATM call — 5 days,1019.6470262978664,751.75743991883,828.9524809356669,0.56707,0.35244,35.94234756572917
Target-strike call — 5 days,876.3740948991767,665.7887786780293,728.7096919770098,0.57393,0.33033,32.77497645669146
Higher-OTM call — 5 days,747.3583401317057,583.763882152641,634.3652603408052,0.58188,0.30656,29.515488516701154
Target-strike call — 10 days,1312.601773223929,756.8542749731582,866.2166708713066,0.54806,0.34053,69.17767285809646
