Trading-Day Horizon,Probability Target Touched,Probability Finished at/above Target,5th Percentile QQQ,Median QQQ,95th Percentile QQQ
1,0.74214,0.40033,688.1849588915555,706.1940443189919,724.737669679258
5,0.8857,0.46417,667.1735325382559,706.7754279764891,748.9589147319083
10,0.92033,0.48305,652.1575237108816,707.5219490853991,768.2873238346174
